id,filename,title,artist,year,museum,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories,license
5511,aic_5511.jpg,Head of a Tahitian with Profile of Second Head to His Right,Paul Gauguin,1891.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/163aee67-745b-40df-fd29-97a29a7082a9/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5511,Gift of Emily Crane Chadbourne,Prints and Drawings,"['chalk', 'drawings (visual works)', 'prints and drawing']",[],"['chalk', 'Century of Progress', 'paper (fiber product)', 'charcoal', 'plant material', 'drawings (visual works)', 'prints and drawing', ""world's fairs"", ""Chicago World's Fairs""]",['Prints and Drawings'],unknown
5519,aic_5519.jpg,Portrait of a Man Wearing a Laurel Wreath,Ancient Egyptian,101.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/6db509c1-1283-e323-c451-d2fc48f1aa01/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5519,Gift of Emily Crane Chadbourne,Arts of Africa,"['painting', 'ancient art']","['roman period (egyptian)', 'greco-roman (egyptian)', 'ancient']","['painting', 'wood (plant material)', 'painting (image making)', 'roman period (egyptian)', 'portraits', 'gold', 'plant material', 'encaustic paint', 'paint', 'coating (material)', 'greco-roman (egyptian)', 'ancient art', 'ancient']",['Arts of Africa'],unknown
5520,aic_5520.jpg,Portrait of a Man Wearing a Laurel Wreath,Ancient Egyptian,101.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/66d505ad-e75f-689a-a657-78818396fea0/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5520,Gift of Emily Crane Chadbourne,Arts of Africa,"['painting', 'ancient art']","['roman period (egyptian)', 'greco-roman (egyptian)', 'ancient']","['painting', 'wood (plant material)', 'roman period (egyptian)', 'portraits', 'gold', 'encaustic paint', 'greco-roman (egyptian)', 'ancient art', 'ancient']",['Arts of Africa'],unknown
5550,aic_5550.jpg,"Sketch for the print ""Portrait of Yamada Kosaku""",Onchi Kōshirō,1938.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/960983b9-cc2b-e3e3-715f-56c078d98035/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5550,Gift of Oliver Statler,Arts of Asia,"['woodblock print', 'print', 'asian art']",['Japanese (culture or style)'],"['woodblock print', 'paper (fiber product)', 'Japanese (culture or style)', 'print', 'asian art']",['Arts of Asia'],unknown
5571,aic_5571.jpg,The Last Judgment from Les Sept Articles de la Foi by Jean Chappuis,Egregius Pictor Franciscus,1465.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/836a64e8-ba94-c0c0-407b-1a5dabd66f79/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5571,Ada Turnbull Hertle Fund,Prints and Drawings,"['tempera', 'manuscript', 'drawings (visual works)', 'prints and drawing']",['medieval'],"['tempera', 'medieval', 'manuscript', 'drawings (visual works)', 'prints and drawing']",['Prints and Drawings'],unknown
5583,aic_5583.jpg,"Chasuble, Stole, Maniple, and Burse",,1775.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/35af68b1-e769-77ca-bb22-1a95f00b85c2/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5583,Gift of William B. Edwards,Textiles,"['textile', 'costume', 'liturgical', 'needlework (visual works)']",[],"['textile', 'costume', 'liturgical', 'needlework (visual works)', 'silk (fiber)']",['Textiles'],unknown
5598,aic_5598.jpg,Mac's Portrait,Eileen Alice Soper,1920.0,aic,2,1,0,0.830,"https://www.artic.edu/iiif/2/5ef8910c-4dff-d026-0567-14c19e1977a1/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5598,Gift of Wallace L. DeWolf,Prints and Drawings,"['etching', 'print', 'prints and drawing']",[],"['etching', 'paper (fiber product)', 'print', 'prints and drawing']","['Prints and Drawings', 'Women artists']",unknown
5722,aic_5722.jpg,Girl and Reflection,Ed Van Der Elsken,1950.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/d56c3a3c-9546-3df0-216d-420303d1d24e/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5722,Peabody Fund,Photography and Media,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']",[],"['gelatin silver (developing-out-paper) pr', 'photographic paper', 'Paris', 'black-and-white photography', 'portraits: female subject', 'photography', 'photographic process', 'photography', 'portraits', 'photograph', 'photographic processes', 'photographic techniques', 'photography']",['Photography and Media'],unknown
5725,aic_5725.jpg,Reve,Ed Van Der Elsken,1950.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/62dcbc4a-2b7e-48ac-33e8-2c237a90cc63/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5725,Peabody Fund,Photography and Media,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']",[],"['gelatin silver (developing-out-paper) pr', 'photographic paper', 'Paris', 'black-and-white photography', 'portraits: female subject', 'photography', 'photographic process', 'photography', 'portraits', 'photograph', 'photographic processes', 'photographic techniques', 'photography']",['Photography and Media'],unknown
5731,aic_5731.jpg,Girl Surrounded by Students in Saint-Germain-Des-Pres,Ed Van Der Elsken,1950.0,aic,2,1,0,0.800,"https://www.artic.edu/iiif/2/79a48de3-9053-3a0f-62bd-4a0a8994b71a/full/843,/0/default.jpg",https://api.artic.edu/api/v1/artworks/5731,Peabody Fund,Photography and Media,"['gelatin silver (developing-out-paper) pr', 'photographic process', 'photography', 'photograph']",[],"['gelatin silver (developing-out-paper) pr', 'photographic paper', 'Paris', 'black-and-white photography', 'street scenes', 'photography', 'photographic process', 'photography', 'photograph', 'photographic processes', 'photographic techniques', 'photography']",['Photography and Media'],unknown
