filename,museum,title,artist,year,price_text,license,auction_price_usd,permalink,id,tier,portrait_flag,masterpiece_flag,value_score,image_url,source_url,credit_line,department,classification,style,terms,categories
438817.jpg,"Metropolitan Museum of Art, New York",The Dance Class,Edgar Degas,1874,,CC0,,https://www.metmuseum.org/art/collection/search/438817,,,,,,,,,,,,,
438821.jpg,"Metropolitan Museum of Art, New York",Ia Orana Maria (Hail Mary),Paul Gauguin,1891,,CC0,,https://www.metmuseum.org/art/collection/search/438821,,,,,,,,,,,,,
446561.jpg,"Metropolitan Museum of Art, New York","""Alexander is Lowered into the Sea"", Folio from a Khamsa (Quintet) of Amir Khusrau Dihlavi",Amir Khusrau Dihlavi,1597–98,,CC0,,https://www.metmuseum.org/art/collection/search/446561,,,,,,,,,,,,,
452102.jpg,"Metropolitan Museum of Art, New York",Damascus Room,Unknown,dated 1119 AH/1707 CE,,CC0,,https://www.metmuseum.org/art/collection/search/452102,,,,,,,,,,,,,
453385.jpg,"Metropolitan Museum of Art, New York",Anthology of Persian Poetry in Oblong Format (Safina),Sultan Muhammad Nur,dated 905 AH/1499–1500 CE,,CC0,,https://www.metmuseum.org/art/collection/search/453385,,,,,,,,,,,,,
459027.jpg,"Metropolitan Museum of Art, New York","Portrait of a Woman, Possibly a Nun of San Secondo; (verso) Scene in Grisaille",Jacometto (Jacometto Veneziano),ca. 1485–95,,CC0,,https://www.metmuseum.org/art/collection/search/459027,,,,,,,,,,,,,
459028.jpg,"Metropolitan Museum of Art, New York",Portrait of Alvise Contarini(?); (verso) A Tethered Roebuck,Jacometto (Jacometto Veneziano),ca. 1485–95,,CC0,,https://www.metmuseum.org/art/collection/search/459028,,,,,,,,,,,,,
459071.jpg,"Metropolitan Museum of Art, New York",Portrait of a Woman,Netherlandish or French,ca. 1470–80,,CC0,,https://www.metmuseum.org/art/collection/search/459071,,,,,,,,,,,,,
459080.jpg,"Metropolitan Museum of Art, New York",Erasmus of Rotterdam,Hans Holbein the Younger,ca. 1532,,CC0,,https://www.metmuseum.org/art/collection/search/459080,,,,,,,,,,,,,
460281.jpg,"Metropolitan Museum of Art, New York",Tabernacle Polyptych with the Madonna and Child and Scenes from the Life of Christ,Unknown,ca. 1275–1300,,CC0,,https://www.metmuseum.org/art/collection/search/460281,,,,,,,,,,,,,
468640.jpg,"Metropolitan Museum of Art, New York",Plate with Wife Beating Husband,Unknown,ca. 1480,,CC0,,https://www.metmuseum.org/art/collection/search/468640,,,,,,,,,,,,,
472562.jpg,"Metropolitan Museum of Art, New York",The Fieschi Morgan Staurotheke,Unknown,early 9th century,,CC0,,https://www.metmuseum.org/art/collection/search/472562,,,,,,,,,,,,,
